Entry_Time,Exit_Time,Entry_Price,Exit_Price,Fee,PnL
2021-01-11 20:00:00,2021-01-16 08:00:00,35408.46,37750.0,36.579229999999995,2304.960770000001
2021-01-18 00:00:00,2021-01-21 08:00:00,35148.25,32247.3,33.697775,2867.2522250000006
2021-01-26 00:00:00,2021-01-26 20:00:00,31520.68,32474.14,31.997410000000002,-985.4574099999991
2021-02-02 08:00:00,2021-02-08 04:00:00,34821.61,39307.82,37.064715,4449.145284999999
2021-05-20 00:00:00,2021-05-20 04:00:00,38341.24,39946.92,39.14408,1566.5359200000003
2021-06-22 08:00:00,2021-06-23 04:00:00,31243.15,33959.13,32.60114,-2748.581139999996
2021-07-08 04:00:00,2021-07-09 00:00:00,32476.39,32923.14,32.699765,-479.449765
2021-09-22 04:00:00,2021-09-22 08:00:00,42522.33,41919.42,42.220875,-645.1308750000035
2022-02-07 16:00:00,2022-02-09 20:00:00,44243.0,44358.08,44.300540000000005,70.77946000000173
2022-03-27 20:00:00,2022-03-30 08:00:00,46820.8,47318.1,47.069449999999996,450.2305499999956
2022-04-20 20:00:00,2022-04-21 20:00:00,41327.7,40449.8,40.88875,-918.7887499999941
2022-05-09 08:00:00,2022-05-10 16:00:00,33107.9,31318.0,32.21295,1757.6870500000014
2022-05-13 20:00:00,2022-05-15 08:00:00,29274.3,30224.8,29.74955,-980.24955
2022-05-20 12:00:00,2022-05-21 08:00:00,29142.0,29272.0,29.207,-159.207
2022-05-26 08:00:00,2022-05-27 04:00:00,28992.8,28977.0,28.984900000000003,-13.18490000000073
2022-06-10 16:00:00,2022-06-16 00:00:00,28970.5,22197.5,25.584,6747.416
2022-06-17 12:00:00,2022-06-17 20:00:00,20656.0,20457.3,20.55665,178.14335000000074
2022-06-20 00:00:00,2022-06-23 16:00:00,19966.7,20900.5,20.4336,-954.2335999999992
2022-06-28 12:00:00,2022-07-01 12:00:00,20595.4,19279.5,19.937450000000002,1295.9625500000016
2022-07-04 00:00:00,2022-07-04 08:00:00,19094.0,19794.2,19.4441,-719.6441000000008
2022-07-13 12:00:00,2022-07-13 16:00:00,19445.1,19644.7,19.544900000000002,-219.1449000000022
2022-07-23 08:00:00,2022-07-24 08:00:00,22226.3,22648.2,22.43725,-444.33725000000146
2022-08-19 04:00:00,2022-08-20 16:00:00,21892.8,20981.7,21.43725,889.6627499999986
2022-09-10 12:00:00,2022-09-11 08:00:00,21213.3,21601.9,21.4076,-410.0076000000022
2022-11-06 04:00:00,2022-11-10 16:00:00,21185.3,17438.6,19.311949999999996,3727.388050000001
2023-03-10 00:00:00,2023-03-11 04:00:00,20042.1,19844.3,19.943199999999997,177.85679999999928
2023-12-02 16:00:00,2023-12-07 12:00:00,39416.4,43679.8,41.548100000000005,4221.8519000000015
2023-12-09 12:00:00,2023-12-10 20:00:00,44088.0,43810.0,43.949,-321.949
2023-12-25 12:00:00,2023-12-29 12:00:00,43661.0,42301.6,42.981300000000005,-1402.3813000000014
2024-01-04 12:00:00,2024-01-07 12:00:00,44050.4,44035.0,44.042699999999996,-59.44270000000145
2024-01-08 08:00:00,2024-01-10 08:00:00,44637.2,45530.2,45.0837,847.9163
2024-02-09 08:00:00,2024-02-16 16:00:00,47155.9,51780.2,49.468050000000005,4574.831949999995
2024-02-26 12:00:00,2024-03-02 00:00:00,52872.3,62374.3,57.62330000000001,9444.3767
2024-03-05 20:00:00,2024-03-06 12:00:00,63747.4,66541.3,65.14435,2728.7556500000014
2024-03-09 00:00:00,2024-03-15 08:00:00,68297.1,67818.3,68.05770000000001,-546.857700000003
2024-04-04 16:00:00,2024-04-06 12:00:00,68484.0,68094.0,68.289,-458.289
2024-05-20 16:00:00,2024-05-22 12:00:00,69996.4,70485.7,70.24104999999999,419.05895000000294
2024-10-29 00:00:00,2024-10-31 12:00:00,70927.5,70638.7,70.7831,-359.5831000000029
